personal_id,name,surname,phone_number,stage_name,career
26,Ella,Garcia,+34 622 5553321,Golden Threads,Ellas collections are known for their luxurious materials and intricate embroidery. She often uses gold tones and delicate fabrics. Her designs are highly sought after for high-profile events.
27,Logan,Ramirez,+1 202 5556723,Urban Nomad,Logans designs are inspired by the constant movement of urban life. He creates versatile pieces that can be worn in any setting. His collections are praised for their practicality and style.
28,Scarlett,Rodriguez,+1 718 5552134,Glam Reverie,Scarletts collections are the epitome of glamour and sophistication. She often uses luxurious materials and bold designs. Her work is celebrated for its elegance and red-carpet appeal.
29,Dylan,Campbell,+61 420 5557211,Tech Couture,Dylan blends technology with fashion to create futuristic designs. His collections often feature tech-infused fabrics and innovative cuts. He aims to lead the industry in wearable technology.
30,Avery,Young,+1 718 5551290,Urban Minimalist,Averys designs are simple yet striking focusing on clean lines. She draws inspiration from city life and modern architecture. Her collections are perfect for the modern minimalist.
31,Jack,Turner,+1 202 5554321,Sharp Tailor,Jack specializes in sharp tailored menswear that exudes sophistication. He is known for his clean cuts and precise fits. His designs have been worn by some of the top names in the industry.
32,Chloe,Parker,+44 755 5552311,Silk Dreams,Chloe creates collections inspired by the softness and elegance of silk. Her designs are known for their flowing lines and luxurious feel. She has been featured in numerous high-end fashion shows.
33,Jacob,Stewart,+1 312 5554321,Urban Maverick,Jacob is a fashion rebel known for his edgy and unconventional designs. His collections often incorporate streetwear elements into high fashion. He has built a loyal following of fashion-forward individuals.
34,Layla,Bell,+1 305 5558901,Coastal Chic,Layla creates resort wear inspired by coastal living. Her collections feature light fabrics and breezy silhouettes. She is known for her effortless and chic approach to fashion.
35,Luke,Collins,+1 213 5559980,Architectural Lines,Lukes designs are heavily influenced by architecture and structure. His collections are known for their bold shapes and clean lines. He aims to push the boundaries of fashion with his artistic vision.
36,Zoe,Griffin,+44 793 5552323,Eternal Glam,Zoe specializes in glamorous evening wear with a timeless feel. Her collections feature luxurious fabrics and intricate designs. She is a favorite among celebrities for high-profile events.
37,Sebastian,Sanchez,+1 312 5558743,Nomad Threads,Sebastians designs are inspired by his travels around the world. His collections blend various cultural influences with modern fashion. He is known for his eclectic style and unique use of textiles.
38,Lily,Morris,+61 420 5559983,Blossom Couture,Lilys designs are inspired by nature particularly flowers and plants. Her collections are known for their delicate fabrics and floral motifs. She aims to bring the beauty of nature into every piece she creates.
39,Samuel,Mitchell,+1 415 5556721,Tailored Edge,Samuel is known for combining traditional tailoring with edgy details. His collections often feature sharp lines and bold patterns. He is a favorite among those looking for unique menswear pieces.
40,Hannah,Brooks,+44 775 5550198,Opulent Dreams,Hannah specializes in luxurious evening wear with a focus on detail. Her collections are known for their intricate beadwork and lavish fabrics. She is a go-to designer for elegant high-society events.
41,Eli,Gray,+1 415 5552301,Casual Luxury,Eli designs high-end casual wear for the modern man. His collections blend comfort with sophistication. He is known for creating versatile pieces that work in any setting.
42,Aubrey,Howard,+1 718 5557834,Rebel Couture,Aubrey is known for her rebellious avant-garde designs. Her collections often push the boundaries of traditional fashion. She is celebrated for her boldness and creativity on the runway.
43,Caleb,Ward,+1 312 5552310,Street Luxe,Caleb blends luxury fashion with streetwear elements in his collections. His designs are known for their boldness and versatility. He aims to create pieces that can be worn in both casual and high-fashion settings.
44,Sofia,Reed,+44 770 5557612,Classic Opulence,Sofias designs are known for their elegance and timeless appeal. She often uses luxurious fabrics and intricate detailing. Her work is a staple in high-end fashion circles.
45,Jackson,Cook,+1 305 5551223,Bold Vision,Jackson creates bold experimental fashion that challenges traditional norms. His collections often feature bright colors and unique shapes. He is known for his innovative approach to design.
46,Avery,Foster,+61 420 5558812,Modern Icon,Avery focuses on creating modern iconic looks that stand the test of time. Her collections are minimalist yet striking. She has gained a following for her sleek and sophisticated style.
47,Levi,Bailey,+1 202 5559845,Eco Couture,Levi is a leader in sustainable fashion using only eco-friendly materials. His collections are known for their simple clean designs. He aims to prove that fashion can be both stylish and environmentally conscious.
48,Savannah,Peterson,+44 770 5559381,Bohemian Luxe,Savannahs designs are inspired by bohemian fashion with a luxurious touch. Her collections feature rich fabrics and relaxed silhouettes. She is a favorite among those who value comfort and style.
49,Nathan,Murphy,+1 213 5557392,Artisan Couture,Nathans designs are a tribute to traditional craftsmanship and artistry. His collections often feature hand-stitched details and high-quality fabrics. He believes in preserving the art of handmade fashion.
50,Victoria,Phillips,+1 415 5551930,Glamour House,Victoria specializes in glamorous evening wear with a modern twist. Her designs are known for their dramatic flair and luxurious fabrics. She continues to push the boundaries of formal fashion.
